run_id,epoch,steps_in_epoch,total_tokens,train_loss,train_ppl,train_eval_loss,train_eval_ppl,val_loss,val_ppl,grad_norm_last,grad_over_clip_last,would_clip_last,epoch_ms,step_ms_avg,tokens_per_sec,param_count,param_norm,update_norm,max_rss_kb,train_bytes,val_bytes
1774169374,2,1206,9879552,1.966639,7.146613,1.944637,6.991095,1.974331,7.201798,0.690901,0.690901,0,1021210.483,846.731,9674.354,660992,66.108971,11.991170,101904,9961472,524288
1774169374,3,1206,9879552,1.961598,7.110680,1.949828,7.027480,1.973755,7.197654,0.567756,0.567756,0,1032584.522,856.162,9567.790,660992,63.067364,8.124241,101908,9961472,524288
1774169374,4,1206,9879552,1.954338,7.059244,1.932670,6.907930,1.969271,7.165453,2.216121,2.216121,1,1028369.188,852.605,9607.009,660992,61.282452,6.620059,101920,9961472,524288
1774169374,5,1206,9879552,1.948245,7.016362,1.923727,6.846429,1.954798,7.062491,1.499862,1.499862,1,1040035.155,862.272,9499.248,660992,60.175125,5.714733,101960,9961472,524288
1774169374,6,1206,9879552,1.941689,6.970513,1.923570,6.845355,1.955681,7.068734,1.010716,1.010716,1,1026496.217,851.113,9624.538,660992,59.497566,5.230701,101960,9961472,524288
1774169374,7,1206,9879552,1.936275,6.932877,1.915059,6.787338,1.939531,6.955486,0.940176,0.940176,0,1076444.581,892.516,9177.948,660992,59.079784,4.826343,101960,9961472,524288
1774169374,8,1206,9879552,1.931239,6.898053,1.908842,6.745276,1.941613,6.969984,3.071205,3.071205,1,1028125.666,852.464,9609.284,660992,58.990372,4.670345,101960,9961472,524288
1774169374,9,1206,9879552,1.927125,6.869731,1.895680,6.657071,1.939402,6.954592,0.850085,0.850085,0,1029825.293,853.874,9593.425,660992,59.144390,4.384163,101960,9961472,524288
1774169374,10,1206,9879552,1.920834,6.826648,1.895985,6.659108,1.934440,6.920166,0.714000,0.714000,0,1029598.804,853.682,9595.536,660992,59.430126,4.338220,101960,9961472,524288
1774169374,11,1206,9879552,1.918157,6.808401,1.900858,6.691630,1.926915,6.868289,0.922587,0.922587,0,1028678.122,852.922,9604.124,660992,59.763214,4.044777,101960,9961472,524288
1774169374,12,1206,9879552,1.914268,6.781971,1.885619,6.590435,1.918418,6.810178,0.737452,0.737452,0,1031134.330,854.941,9581.246,660992,60.259266,4.017108,101960,9961472,524288
1774169374,13,1206,9879552,1.908739,6.744578,1.887075,6.600035,1.920972,6.827591,0.976086,0.976086,0,1029342.368,853.474,9597.926,660992,60.798241,3.871011,101960,9961472,524288
1774169374,14,1206,9879552,1.907045,6.733163,1.876896,6.533195,1.916324,6.795928,0.565409,0.565409,0,1030344.510,854.303,9588.591,660992,61.584091,3.989554,101960,9961472,524288
1774169374,15,1206,9879552,1.903061,6.706394,1.872594,6.505150,1.904408,6.715429,0.391644,0.391644,0,1006853.462,834.815,9812.304,660992,62.380119,3.829578,101960,9961472,524288
1774187651,1,1206,9879552,1.900057,6.686278,1.876296,6.529276,1.910977,6.759689,0.760318,0.760318,0,1068379.435,885.732,9247.232,660992,63.234261,4.028689,97916,9961472,524288
1774187651,2,1206,9879552,1.897271,6.667674,1.882518,6.570027,1.912918,6.772824,0.731483,0.731483,0,1004755.307,832.754,9832.794,660992,64.188316,3.779938,102040,9961472,524288
1774187651,3,1206,9879552,1.893876,6.645077,1.864113,6.450214,1.891471,6.629114,1.386972,1.386972,1,1005540.897,833.737,9825.112,660992,65.178284,3.824239,102040,9961472,524288
1774187651,4,1206,9879552,1.890610,6.623407,1.859551,6.420855,1.899790,6.684489,1.249988,1.249988,1,1059620.899,878.561,9323.667,660992,66.179291,3.798254,102060,9961472,524288
1774187651,5,1206,9879552,1.888271,6.607931,1.858238,6.412431,1.899176,6.680390,1.322026,1.322026,1,1214228.326,1006.773,8136.486,660992,67.152199,3.626303,102060,9961472,524288
1774187651,6,1206,9879552,1.885310,6.588396,1.860942,6.429791,1.897911,6.671945,0.885319,0.885319,0,1232842.168,1022.158,8013.639,660992,68.062073,3.577941,102060,9961472,524288
1774187651,7,1206,9879552,1.883777,6.578301,1.861538,6.433626,1.887540,6.603108,0.641297,0.641297,0,1203265.086,997.676,8210.620,660992,68.994736,3.584822,102060,9961472,524288
1774187651,8,1206,9879552,1.881403,6.562706,1.851520,6.369492,1.882046,6.566928,2.154270,2.154270,1,1245075.081,1032.344,7934.905,660992,70.069542,3.692571,102060,9961472,524288
1774187651,9,1206,9879552,1.879929,6.553042,1.860513,6.427035,1.903345,6.708294,1.012993,1.012993,1,1379854.950,1144.072,7159.848,660992,71.099220,3.587051,102060,9961472,524288
1774187651,10,1206,9879552,1.877009,6.533933,1.851445,6.369014,1.889700,6.617381,1.001505,1.001505,1,1227276.628,1017.570,8049.980,660992,72.035606,3.564109,102060,9961472,524288
1774187651,11,1206,9879552,1.876051,6.527677,1.849887,6.359099,1.875155,6.521832,0.568161,0.568161,0,1263517.741,1047.636,7819.085,660992,72.952721,3.587884,102060,9961472,524288
1774187651,12,1206,9879552,1.874518,6.517679,1.839899,6.295904,1.874219,6.515728,1.048984,1.048984,1,1264617.008,1048.416,7812.288,660992,73.729874,3.526255,102060,9961472,524288
1774187651,13,1206,9879552,1.872140,6.502196,1.846906,6.340175,1.887709,6.604223,2.487808,2.487808,1,1169728.130,969.854,8446.024,660992,74.651497,3.384797,102060,9961472,524288
1774187651,14,1206,9879552,1.872454,6.504235,1.838670,6.288169,1.877971,6.540223,0.699648,0.699648,0,1283539.199,1064.226,7697.117,660992,75.833130,3.628705,102060,9961472,524288
1774187651,15,1206,9879552,1.870096,6.488920,1.838688,6.288283,1.872872,6.506956,0.563608,0.563608,0,1327831.723,1100.961,7440.364,660992,76.879860,3.526546,102060,9961472,524288
1774187651,16,1206,9879552,1.868083,6.475871,1.850258,6.361458,1.877963,6.540167,0.926878,0.926878,0,1284255.124,1064.831,7692.827,660992,77.908348,3.564893,102060,9961472,524288
1774187651,17,1206,9879552,1.867265,6.470575,1.850203,6.361113,1.889526,6.616230,1.684217,1.684217,1,1364948.447,1131.731,7238.040,660992,79.031502,3.689503,102060,9961472,524288
1774187651,18,1206,9879552,1.866382,6.464863,1.860351,6.425994,1.905253,6.721108,1.386277,1.386277,1,1345699.723,1115.771,7341.572,660992,80.109413,3.577036,102060,9961472,524288
